week;treat;flume;C12.0;C13.0;C14.0;C15.0;C16.0;C17.0;C18.0;C20.0;C21.0;C22.0;C23.0;C24.0;C14.1;C15.1;C16.1;C17.1;C18.1;C20.1;C22.1;C24.1;C18.2;C18.3_GLA;C18.3_ALA;;C20.2;C20.3a;C20:3b;C20.4_ARA;C20.5_EPA;;C22.2;C22.6_DHA
Week1;Crayfish;12;0;0;1.87924883086573;0.248439887766168;6.45920516252;0.271502734497983;3.37269718903849;0.109952599514316;0;0.0358688659649325;0.029751153533435;0;0;1.99897219404842;3.74331030166652;0.0944101119015553;2.38699747762931;0.0251137638842475;0;0;2.83966155940111;0.396645828263314;1.50530547184572;;0;0.000603832570842316;0.105512553989671;0.568713191066962;15.8376132636989;;0;0
Week1;Control;4;0;0;1.55749609926011;0.201526746570686;5.35654084459465;0.253284487056093;2.24917512314611;0.1208501440294;0.0365846883030172;0.0581074877318567;0.013353915644776;0;0;1.5235100444888;2.85808763330371;0.187841950296774;2.18000010766472;0.00980167819285673;0;0;4.04691739352491;0.198679917528184;1.32529882196385;;0;0.00102620119172124;0.206284155891956;0.592876839881264;8.60793950817982;;0;0
Week1;ALAN+Crayfish;8;0;0;1.31622716960397;0.76459064018993;8.05050363994337;0.510868325002118;3.29528706971796;0.199947764701625;0;0.0530250867392254;0;0;0;1.05011463276502;3.68760308430094;0.525324230582833;2.45302639365746;0.574875595405618;0;0.00283356171437222;3.94592700474242;0.553019457784541;1.75895253693712;;0;0.0397812309039663;0.150202923870976;1.21388304591558;23.3247298245959;;0;0.104262201747168
Week1;ALAN+Crayfish;1;0;0;1.65829508588218;0.433960656848334;6.33735670763981;0.316842508621475;3.09758504182021;0.101759097016972;0;0.0218536094196621;0.0111557254802736;0;0;1.79048967593835;5.91698524822592;0.325334985159903;2.35907234538391;0;0;0;4.46635232320875;0.251473222206668;1.15482679518097;;0;0;0.151135359435189;0.710242516930003;12.3543917872467;;0.00021497814241993;0
Week1;Control;10;0;0;0.7285784026261;0.282332286240854;6.47136352451978;0.27233733506393;2.57207148671702;0.164414160788512;0;0.0291475390381214;0;0;0;2.00242874817229;3.05895014171933;0.182154194878589;2.32621620479777;0;0;0.0527990598495439;4.40507439148674;0.273695202512278;1.34237687586896;;0;0;0.136608348833952;1.00557521428615;17.3007422994687;;0;0
Week1;ALAN+Crayfish;14;0;0;2.1946977306516;0.533351923946789;8.9430132449938;0.342408411599583;3.37794632431905;0.228856751548175;0;0.0426860393408734;0;0;0;0;6.25625326179438;0.373924409603628;2.93909407463955;0.033311186841727;0;0;4.14227403297917;0.659860836299996;1.41613094653269;;0;0.014437433290541;0.173996161898543;0.870651601358398;21.876178219968;;0;0.0796419862650312
Week1;ALAN;9;0;0;1.94372041738882;0.359173703202551;8.80972193722705;0.315730773968379;3.36965379573645;0.18900824118115;0.000793986353316622;0.0568845427291186;0.0332532779431054;0;0;1.40030718377199;7.92435101690791;0.308264470161781;2.89633039648774;0.0309829028581403;0;0.0107763959716221;4.62093617583308;0.516364487750595;0.647108596508257;;0;0.0244230454896663;0.193871403717324;1.51422041474151;20.5345493272919;;0;0
Week1;ALAN;6;0;0;1.90072005523237;0.782724441993046;9.34579046149961;0.440056628702912;3.11963587170026;0.20750897272684;0;0.0489182260956285;0;0;0;0.731497416824891;3.6010618336815;0.605077500867742;2.89373996056104;0.500629547405329;0;0;3.95917252602204;0.73534241651002;2.50723211238022;;0;0.00810545222451307;0.181670605061215;0.813865675488728;25.9348589205079;;0;0.053354282093611
Week1;Control;7;0.356002124995302;0;11.3308170237863;3.46079177287588;23.2719560895384;0.975290600091638;4.64086771562491;0.0659116983119018;0;0.0551147805950631;0.00466562316007803;0.885997298282034;0;0.867201872079118;11.2596214047209;1.39395638706778;3.32768435816687;0.0448317191568153;0;0.0145221135869647;4.42345048885401;0.324184446468686;5.04443505182805;;3.64576930438819;0;0.0660680239963011;0.818867734660026;18.8884938880007;;0;0
Week1;ALAN;16;0.0957984563346341;0.224149896017672;2.6105888380217;0.668274683871773;12.3610665162906;0.461227342100327;3.81152691514273;0.149634276451209;0;0.0215674045163243;0;0;0.188830474027681;0.663529035325063;7.17195686901222;0.593917406639565;3.42998950104572;0.322757386863137;0;0;5.20007476716246;0.987393011294621;1.82662014632717;;0;0;0.131973963118296;0.790263435479981;21.7212617440422;;0;0.0480978839743642
Week1;ALAN;3;0;0;1.33416363392815;0.543097734023001;13.8972868548041;0.464903612631691;3.6275171425113;0.123889182063866;0;0.0577934123918514;0;0;0;0;4.73215988732684;0.608483716645083;3.2069516793246;0.00101091364270695;0;0.0218053107826812;4.09102186079025;0.671767808961884;2.49517649519045;;0;0.00247663198849133;0.143302388753927;0.955275918122453;23.6542612732999;;0;0
Week1;Crayfish;15;0;0;2.03752713938213;0.686383717498281;12.8175386480153;0.420764107538612;3.01023378303794;0.146496347928776;0;0;0;0;0;0.463926103966936;5.64583878963805;0.609886209769306;3.28342716300467;0.355104074412119;0;0;4.6296872715385;0.948799021306765;2.35120349606877;;0;0;0.165546649516237;0.742288850068399;23.8259822355354;;0;0.086703215178559
Week1;Control;13;0;0;2.87977806510771;0.529888413170166;13.3970269595998;0.39919827975893;4.55449948340096;0.176917279218725;0;0.0480002893106411;0;0;0;0;12.526023487697;0.583479016011948;3.70519225329445;0;0;0.019022707361901;5.46881512119197;0.732968206210044;2.02498424686858;;0;0;0.0973536944979078;0.755924105897881;15.0388558644111;;0;0
